D_crit,kappa,crit_cv
73.4522,0.16907,0.99166
73.4522,0.16907,0.99166
73.4522,0.16907,0.99166
75.6562,0.15108,0.93121
75.6562,0.15108,0.93121
75.6562,0.15108,0.93121
73.5137,0.14992,0.85941
73.5137,0.14992,0.85941
73.5137,0.14992,0.85941
73.5137,0.14992,0.85941
71.2358,0.15237,0.82821
71.2358,0.15237,0.82821
71.2358,0.15237,0.82821
73.9991,0.15406,0.83500
77.0162,0.15853,0.89284
77.0162,0.15853,0.89284
77.0162,0.15853,0.89284
77.0162,0.15853,0.89284
77.0162,0.15853,0.89284
77.0162,0.15853,0.89284
77.0162,0.15853,0.89284
77.0162,0.15853,0.89284
77.0162,0.15853,0.89284
77.0162,0.15853,0.89284
