x,c,branch
0.755784,3.108999,unstable
0.756785,3.120064,unstable
0.757786,3.131142,unstable
0.758788,3.142234,unstable
0.759789,3.153337,unstable
0.760790,3.164453,unstable
0.761791,3.175581,unstable
0.762792,3.186720,unstable
0.763793,3.197872,unstable
0.764794,3.209034,unstable
0.765795,3.220207,unstable
0.766796,3.231391,unstable
0.767798,3.242586,unstable
0.768799,3.253790,unstable
0.769800,3.265004,unstable
0.770801,3.276228,unstable
0.771802,3.287461,unstable
0.772803,3.298703,unstable
0.773804,3.309953,unstable
0.774805,3.321212,unstable
0.775806,3.332478,unstable
0.776808,3.343753,unstable
0.777809,3.355034,unstable
0.778810,3.366323,unstable
0.779811,3.377618,unstable
0.780812,3.388919,unstable
0.781813,3.400227,unstable
0.782814,3.411540,unstable
0.783815,3.422858,unstable
0.784816,3.434181,unstable
0.785818,3.445509,unstable
0.786819,3.456841,unstable
0.787820,3.468176,unstable
0.788821,3.479515,unstable
0.789822,3.490857,unstable
0.790823,3.502202,unstable
0.791824,3.513549,unstable
0.792825,3.524897,unstable
0.793826,3.536247,unstable
0.794828,3.547598,unstable
0.795829,3.558950,unstable
0.796830,3.570302,unstable
0.797831,3.581653,unstable
0.798832,3.593004,unstable
0.799833,3.604353,unstable
0.800834,3.615701,unstable
0.801835,3.627047,unstable
0.802836,3.638390,unstable
0.803838,3.649730,unstable
0.804839,3.661066,unstable
0.805840,3.672399,unstable
0.806841,3.683727,unstable
0.807842,3.695050,unstable
0.808843,3.706367,unstable
0.809844,3.717679,unstable
0.810845,3.728984,unstable
0.811846,3.740281,unstable
0.812848,3.751571,unstable
0.813849,3.762853,unstable
