regime,Vb_n,Vb_next
sizer,19.2904,16.8493
sizer,16.8493,23.2093
sizer,23.2093,20.5432
sizer,20.5432,20.1603
sizer,20.1603,20.8583
sizer,20.8583,19.8264
sizer,19.8264,17.0718
sizer,17.0718,20.6798
sizer,20.6798,19.8657
sizer,19.8657,21.4357
sizer,21.4357,20.1474
sizer,20.1474,21.2950
sizer,21.2950,21.7486
sizer,21.7486,22.1654
sizer,22.1654,16.6135
sizer,16.6135,19.8944
sizer,19.8944,17.7184
sizer,17.7184,19.2248
sizer,19.2248,19.0573
sizer,19.0573,24.5142
sizer,24.5142,23.7235
sizer,23.7235,21.7529
sizer,21.7529,17.1365
sizer,17.1365,16.2476
sizer,16.2476,13.8338
sizer,13.8338,20.7871
sizer,20.7871,22.7543
sizer,22.7543,16.0630
sizer,16.0630,20.5063
sizer,20.5063,20.5044
sizer,20.5044,20.9151
sizer,20.9151,22.1755
sizer,22.1755,22.5138
sizer,22.5138,22.0898
sizer,22.0898,23.5513
sizer,23.5513,14.0133
sizer,14.0133,20.9089
sizer,20.9089,17.2434
sizer,17.2434,16.3491
sizer,16.3491,23.0092
sizer,23.0092,22.3359
sizer,22.3359,18.9518
sizer,18.9518,22.0491
sizer,22.0491,18.6627
sizer,18.6627,21.5431
sizer,21.5431,27.1210
sizer,27.1210,18.6837
sizer,18.6837,18.0374
sizer,18.0374,18.4423
sizer,18.4423,20.0951
sizer,20.0951,19.8925
sizer,19.8925,21.7508
sizer,21.7508,20.7128
sizer,20.7128,16.3769
sizer,16.3769,21.0493
sizer,21.0493,18.3161
sizer,18.3161,17.2846
sizer,17.2846,17.7712
sizer,17.7712,20.0991
sizer,20.0991,24.3948
sizer,24.3948,21.3430
sizer,21.3430,22.4376
sizer,22.4376,18.9170
sizer,18.9170,22.2052
sizer,22.2052,19.0275
sizer,19.0275,18.1806
sizer,18.1806,18.9633
sizer,18.9633,20.8865
sizer,20.8865,20.3230
sizer,20.3230,19.0365
sizer,19.0365,18.6549
sizer,18.6549,16.4426
sizer,16.4426,18.6533
sizer,18.6533,20.3949
sizer,20.3949,20.3570
sizer,20.3570,19.8983
sizer,19.8983,20.5638
sizer,20.5638,25.0993
sizer,25.0993,18.5199
sizer,18.5199,18.3720
sizer,18.3720,24.0991
sizer,24.0991,17.4451
sizer,17.4451,24.3373
sizer,24.3373,18.4074
sizer,18.4074,20.1346
sizer,20.1346,22.7213
sizer,22.7213,16.6697
sizer,16.6697,23.5779
sizer,23.5779,18.1131
sizer,18.1131,22.2897
sizer,22.2897,27.7121
sizer,27.7121,14.7845
sizer,14.7845,16.0025
sizer,16.0025,18.2904
sizer,18.2904,19.6153
sizer,19.6153,18.2867
sizer,18.2867,21.9742
sizer,21.9742,17.1653
sizer,17.1653,17.1352
sizer,17.1352,13.2965
sizer,13.2965,18.7394
sizer,18.7394,18.5078
sizer,18.5078,20.0535
sizer,20.0535,20.1651
sizer,20.1651,19.1352
sizer,19.1352,21.0958
sizer,21.0958,16.7835
sizer,16.7835,22.5013
sizer,22.5013,18.2432
sizer,18.2432,18.3490
sizer,18.3490,20.5344
sizer,20.5344,18.9732
sizer,18.9732,17.1736
sizer,17.1736,21.4258
sizer,21.4258,20.9443
sizer,20.9443,20.2790
sizer,20.2790,19.3789
sizer,19.3789,19.6701
sizer,19.6701,17.7193
sizer,17.7193,19.3863
sizer,19.3863,16.3540
sizer,16.3540,20.1051
sizer,20.1051,23.0763
sizer,23.0763,17.4686
sizer,17.4686,18.0299
sizer,18.0299,17.1065
sizer,17.1065,18.9417
sizer,18.9417,19.3664
sizer,19.3664,18.2258
sizer,18.2258,20.2642
sizer,20.2642,23.3108
sizer,23.3108,21.6933
sizer,21.6933,18.6595
sizer,18.6595,19.3874
sizer,19.3874,22.2999
sizer,22.2999,22.7534
sizer,22.7534,20.7436
sizer,20.7436,20.8240
sizer,20.8240,17.4500
sizer,17.4500,21.3548
sizer,21.3548,20.4652
sizer,20.4652,21.6917
sizer,21.6917,18.5448
sizer,18.5448,19.4945
sizer,19.4945,17.8128
sizer,17.8128,22.0617
sizer,22.0617,22.0896
sizer,22.0896,19.2656
sizer,19.2656,18.4125
sizer,18.4125,19.8852
sizer,19.8852,21.4735
sizer,21.4735,17.9629
sizer,17.9629,17.9585
sizer,17.9585,18.1222
sizer,18.1222,19.0668
sizer,19.0668,20.0261
sizer,20.0261,22.4206
sizer,22.4206,18.6550
sizer,18.6550,19.7543
sizer,19.7543,18.0959
sizer,18.0959,19.5842
sizer,19.5842,21.4103
sizer,21.4103,17.3033
sizer,17.3033,15.9736
sizer,15.9736,21.3163
sizer,21.3163,20.1682
sizer,20.1682,21.7457
sizer,21.7457,19.1545
sizer,19.1545,21.1301
sizer,21.1301,17.0690
sizer,17.0690,17.7418
sizer,17.7418,17.2144
sizer,17.2144,17.9249
sizer,17.9249,19.0994
sizer,19.0994,17.9888
sizer,17.9888,21.7603
sizer,21.7603,22.4196
sizer,22.4196,24.9905
sizer,24.9905,19.7692
sizer,19.7692,18.2478
sizer,18.2478,17.9359
sizer,17.9359,23.7739
sizer,23.7739,15.0444
sizer,15.0444,12.2737
sizer,12.2737,18.2774
sizer,18.2774,21.5338
sizer,21.5338,19.2601
sizer,19.2601,21.4580
sizer,21.4580,21.9837
sizer,21.9837,18.4413
sizer,18.4413,20.0004
sizer,20.0004,20.9051
sizer,20.9051,20.7022
sizer,20.7022,19.2595
sizer,19.2595,21.3267
sizer,21.3267,17.1046
sizer,17.1046,22.7284
sizer,22.7284,21.4842
sizer,21.4842,19.9569
sizer,19.9569,21.3109
sizer,21.3109,20.2431
sizer,20.2431,20.8384
sizer,20.8384,14.9802
sizer,14.9802,19.6581
sizer,19.6581,13.3924
sizer,13.3924,20.2862
sizer,20.2862,16.0332
sizer,16.0332,16.3869
sizer,16.3869,23.8579
sizer,23.8579,22.1548
sizer,22.1548,21.2216
sizer,21.2216,15.1647
sizer,15.1647,19.3110
sizer,19.3110,19.3392
sizer,19.3392,19.2505
sizer,19.2505,20.1515
sizer,20.1515,21.0894
sizer,21.0894,22.5775
sizer,22.5775,14.5569
sizer,14.5569,19.6427
sizer,19.6427,15.0747
sizer,15.0747,17.3210
sizer,17.3210,20.2002
sizer,20.2002,19.3654
sizer,19.3654,25.4831
sizer,25.4831,17.4253
sizer,17.4253,21.7616
sizer,21.7616,17.0180
sizer,17.0180,18.7273
sizer,18.7273,20.1603
sizer,20.1603,17.6824
sizer,17.6824,20.7618
sizer,20.7618,17.8471
sizer,17.8471,19.5705
sizer,19.5705,20.2411
sizer,20.2411,17.9720
sizer,17.9720,20.4707
sizer,20.4707,19.0604
sizer,19.0604,20.2469
sizer,20.2469,21.5594
sizer,21.5594,19.4233
sizer,19.4233,20.1831
sizer,20.1831,22.8594
sizer,22.8594,22.1180
sizer,22.1180,20.2199
sizer,20.2199,19.8820
sizer,19.8820,23.1797
sizer,23.1797,20.8359
sizer,20.8359,23.3724
sizer,23.3724,19.4264
sizer,19.4264,27.7277
sizer,27.7277,23.2389
sizer,23.2389,22.2401
sizer,22.2401,15.1473
sizer,15.1473,19.6932
sizer,19.6932,18.2846
sizer,18.2846,20.9174
sizer,20.9174,18.5441
sizer,18.5441,21.5991
sizer,21.5991,19.1234
sizer,19.1234,18.0847
sizer,18.0847,18.3346
sizer,18.3346,20.2907
sizer,20.2907,17.7942
sizer,17.7942,21.5218
sizer,21.5218,18.7892
sizer,18.7892,20.5708
sizer,20.5708,19.1088
sizer,19.1088,22.5456
sizer,22.5456,26.4081
sizer,26.4081,20.5997
sizer,20.5997,21.2364
sizer,21.2364,23.2303
sizer,23.2303,19.6092
sizer,19.6092,18.6390
sizer,18.6390,22.4065
sizer,22.4065,20.9653
sizer,20.9653,18.7244
sizer,18.7244,23.1899
sizer,23.1899,17.6058
sizer,17.6058,20.4491
sizer,20.4491,19.9146
sizer,19.9146,18.6332
sizer,18.6332,15.5872
sizer,15.5872,18.5278
sizer,18.5278,17.3221
sizer,17.3221,21.5381
sizer,21.5381,21.6686
sizer,21.6686,16.3578
sizer,16.3578,22.5366
sizer,22.5366,21.0561
sizer,21.0561,16.9015
sizer,16.9015,18.6275
sizer,18.6275,21.3135
sizer,21.3135,21.6152
sizer,21.6152,21.3128
sizer,21.3128,20.3066
sizer,20.3066,20.4121
sizer,20.4121,17.6213
sizer,17.6213,20.2873
sizer,20.2873,20.2846
sizer,20.2846,23.1437
sizer,23.1437,15.1998
sizer,15.1998,20.5782
sizer,20.5782,18.2152
sizer,18.2152,24.5602
sizer,24.5602,20.0233
sizer,20.0233,21.2482
sizer,21.2482,20.9078
sizer,20.9078,22.4182
sizer,22.4182,22.1053
sizer,22.1053,22.7751
sizer,22.7751,19.9627
sizer,19.9627,18.6994
sizer,18.6994,21.3229
sizer,21.3229,19.0454
sizer,19.0454,19.8661
sizer,19.8661,19.3669
sizer,19.3669,21.6728
sizer,21.6728,20.9185
sizer,20.9185,21.7123
sizer,21.7123,19.7107
sizer,19.7107,16.4840
sizer,16.4840,16.1265
sizer,16.1265,20.5571
sizer,20.5571,20.8762
sizer,20.8762,18.8984
sizer,18.8984,16.6165
sizer,16.6165,14.5253
sizer,14.5253,13.3873
sizer,13.3873,20.4237
sizer,20.4237,17.9290
sizer,17.9290,22.2327
sizer,22.2327,18.4802
sizer,18.4802,18.8410
sizer,18.8410,18.6582
sizer,18.6582,20.8743
sizer,20.8743,17.5814
sizer,17.5814,23.6121
sizer,23.6121,22.7113
sizer,22.7113,20.2103
sizer,20.2103,14.5187
sizer,14.5187,15.8626
sizer,15.8626,20.7668
sizer,20.7668,20.7817
sizer,20.7817,21.2539
sizer,21.2539,18.6707
sizer,18.6707,20.6377
sizer,20.6377,19.2813
sizer,19.2813,16.9951
sizer,16.9951,21.2665
sizer,21.2665,20.4281
sizer,20.4281,24.7617
sizer,24.7617,20.9973
sizer,20.9973,21.3712
sizer,21.3712,12.9224
sizer,12.9224,17.7566
sizer,17.7566,19.7139
sizer,19.7139,12.1606
sizer,12.1606,18.8203
sizer,18.8203,17.1447
sizer,17.1447,19.5176
sizer,19.5176,21.2493
sizer,21.2493,18.8057
sizer,18.8057,22.2048
sizer,22.2048,17.9457
sizer,17.9457,19.2711
sizer,19.2711,15.8859
sizer,15.8859,22.7553
sizer,22.7553,15.9167
sizer,15.9167,20.2252
sizer,20.2252,18.8162
sizer,18.8162,15.6999
sizer,15.6999,18.3391
sizer,18.3391,21.5455
sizer,21.5455,14.9632
sizer,14.9632,16.2408
sizer,16.2408,20.3542
sizer,20.3542,20.7700
sizer,20.7700,19.4153
sizer,19.4153,24.1336
sizer,24.1336,14.9629
sizer,14.9629,20.3250
sizer,20.3250,20.3676
sizer,20.3676,26.4466
sizer,26.4466,20.0794
sizer,20.0794,16.3468
sizer,16.3468,18.9164
sizer,18.9164,18.1687
sizer,18.1687,17.7755
