Vmother_div,Vdaughter,Ddaughter
89.955,42.1638,6.6791
88.1784,34.4623,2.0218
86.0073,37.3084,3.6906
94.1647,46.1261,12.6052
94.4618,42.9318,5.7128
91.0558,44.3406,10.2666
82.6638,38.0118,6.3613
94.1855,46.1363,12.2333
86.49,38.1908,4.5405
81.7472,27.8881,0.9485
87.8478,43.0318,11.3954
93.4758,46.0855,12.3921
92.6453,44.7715,8.3302
86.8521,39.9378,6.124
97.9854,45.0572,6.8498
72.3397,24.6787,0.3885
91.1933,44.0698,9.6692
95.9143,44.957,6.5573
87.9769,43.0951,10.5555
95.7107,45.5238,7.6039
67.8623,21.7159,0.3853
100.9084,49.6561,11.9937
63.5091,21.6662,0.7861
65.8299,21.0656,0.4207
100.2336,49.4172,13.6016
88.9565,41.6958,7.1964
84.0866,35.7338,3.1692
70.4597,26.5131,1.6325
97.7132,46.756,8.2475
94.4836,46.4945,12.5812
94.1337,45.9837,10.8553
84.4003,37.268,4.3795
85.8411,36.4794,2.6863
85.7352,35.5779,3.0126
95.2818,46.0456,8.3327
68.1397,24.5177,1.1317
76.873,31.9003,2.6649
91.2613,43.1115,8.1317
88.7828,43.2337,10.0726
90.9299,42.9549,6.5573
92.8959,45.7133,13.5247
97.7957,46.7955,9.0254
95.045,46.1182,10.413
93.7427,46.0312,11.059
92.7287,45.4227,13.3379
98.2279,47.9836,11.3974
80.4735,34.1984,3.1184
80.4962,32.4925,2.8575
95.4424,45.9105,7.743
90.5689,42.0743,7.3544
74.1778,27.9122,1.737
95.5468,45.9607,8.8302
95.7116,46.4417,10.2476
91.5533,42.0996,6.1451
91.2728,38.7877,3.1018
90.2934,42.3224,7.9142
101.277,50.0147,13.9242
90.7031,43.4016,8.3508
90.4083,42.3763,7.0164
74.1719,28.9882,2.3973
110.0677,54.5059,13.1379
85.1675,36.1932,3.6248
95.9229,46.5442,10.6776
95.4162,46.9535,13.4856
66.9446,24.0877,1.0877
85.7308,38.9637,5.8598
86.9886,41.6242,8.2169
85.781,39.8501,6.7522
103.9789,50.793,9.9983
86.008,40.6299,7.4402
79.7327,28.6891,1.3682
86.1096,40.0027,7.0753
92.0384,44.4782,10.1658
91.0971,42.6991,8.4754
98.5115,45.7641,6.6745
96.2298,46.8601,11.0466
82.234,34.9466,3.1095
94.1482,45.6831,9.5988
87.6644,40.3113,5.101
94.9288,44.844,7.8678
97.7517,48.1936,12.6606
90.2192,41.0036,5.5356
97.8088,48.4352,16.2209
90.1761,39.8184,3.9086
73.986,30.7023,2.3715
94.3271,46.5052,13.0775
96.7438,46.9425,10.1234
90.5696,44.3651,11.9378
76.7703,31.8577,2.7236
93.9428,45.5834,9.1615
73.6298,27.706,1.5628
94.2471,44.8276,8.2179
65.1747,22.2344,0.5919
95.9054,45.3054,8.0447
83.9683,35.6836,3.2351
82.1906,34.107,3.4318
98.0718,48.2603,9.8219
95.5803,44.4024,6.7186
94.3463,45.5935,10.0537
85.5224,40.0861,7.2579
101.2158,50.0578,14.4579
91.2676,39.5902,3.4684
62.9609,21.4792,0.7088
71.3009,29.588,3.0803
74.8879,30.2287,2.5556
83.2182,37.3174,4.8504
81.7621,33.9292,2.8479
101.5344,48.8409,9.8087
94.8905,46.0432,10.1938
66.1272,22.5593,0.5822
69.4447,27.1407,2.2213
76.8395,30.0307,2.2086
73.6627,28.7892,2.2596
100.429,49.4202,12.8806
66.3259,21.2243,0.462
101.1578,49.9559,15.0404
57.4221,18.3751,0.2386
90.9474,40.159,4.2664
94.762,45.0726,6.7074
94.9725,46.3934,12.2876
100.2901,49.664,14.6243
74.9687,30.2613,2.6353
84.7674,40.0438,7.3754
91.6955,43.614,8.4587
83.9876,39.3667,6.1262
93.6442,43.893,6.574
94.8349,46.4544,10.0861
63.7138,22.9252,1.216
